0.950,0.013,0.036,0.001
0.900,0.016,0.061,0.022
0.747,0.049,0.167,0.037
0.999,0.000,0.001,0.000
0.302,0.572,0.059,0.067
0.285,0.008,0.130,0.577
0.666,0.034,0.204,0.095
0.927,0.015,0.056,0.001
0.979,0.012,0.007,0.002
0.874,0.035,0.084,0.007
0.969,0.002,0.027,0.002
0.875,0.024,0.075,0.026
0.948,0.014,0.035,0.002
0.998,0.000,0.001,0.000
0.999,0.000,0.000,0.000
0.471,0.115,0.390,0.024
0.996,0.000,0.003,0.000
0.966,0.019,0.013,0.002
0.960,0.013,0.026,0.001
0.958,0.012,0.027,0.004
0.947,0.013,0.036,0.003
0.982,0.001,0.016,0.001
0.841,0.022,0.128,0.009
0.953,0.029,0.017,0.001
0.987,0.003,0.009,0.002
0.942,0.017,0.036,0.005
0.972,0.008,0.020,0.001
0.958,0.002,0.039,0.001
0.963,0.004,0.029,0.004
0.991,0.001,0.008,0.000
0.984,0.010,0.004,0.001
0.988,0.000,0.010,0.001
0.984,0.006,0.010,0.000
0.998,0.000,0.001,0.000
0.995,0.005,0.000,0.000
0.620,0.094,0.145,0.141
0.031,0.936,0.012,0.021
0.909,0.006,0.077,0.008
0.332,0.041,0.535,0.092
0.920,0.012,0.065,0.003
0.836,0.119,0.024,0.020
0.662,0.010,0.050,0.277
0.833,0.011,0.138,0.018
0.828,0.017,0.151,0.004
0.939,0.013,0.004,0.045
0.972,0.002,0.025,0.002
0.743,0.033,0.222,0.002
0.989,0.001,0.009,0.000
0.908,0.028,0.021,0.043
0.994,0.001,0.004,0.001
0.001,0.005,0.006,0.988
0.952,0.001,0.036,0.010
0.895,0.009,0.071,0.025
0.540,0.010,0.129,0.321
0.902,0.028,0.066,0.005
0.944,0.024,0.026,0.005
0.823,0.011,0.161,0.004
0.981,0.001,0.016,0.002
0.958,0.008,0.031,0.004
0.820,0.006,0.138,0.036
0.999,0.000,0.001,0.000
0.858,0.029,0.104,0.010
0.950,0.003,0.042,0.005
0.989,0.002,0.009,0.001
0.976,0.008,0.013,0.003
0.936,0.003,0.045,0.015
0.992,0.001,0.007,0.000
0.923,0.017,0.056,0.004
0.999,0.000,0.000,0.000
0.963,0.005,0.028,0.004
0.679,0.282,0.013,0.026
0.847,0.025,0.105,0.022
0.962,0.006,0.029,0.003
0.851,0.058,0.087,0.005
0.991,0.004,0.005,0.001
0.907,0.008,0.081,0.004
0.744,0.015,0.202,0.039
0.107,0.597,0.184,0.113
0.694,0.099,0.169,0.038
0.793,0.007,0.140,0.060
0.867,0.052,0.076,0.004
0.985,0.006,0.006,0.003
0.908,0.069,0.022,0.001
0.994,0.000,0.005,0.001
0.681,0.027,0.162,0.129
0.822,0.007,0.158,0.013
0.705,0.000,0.032,0.262
0.144,0.010,0.220,0.625
0.600,0.036,0.324,0.040
0.103,0.887,0.009,0.001
0.951,0.014,0.031,0.004
0.712,0.026,0.131,0.131
0.936,0.017,0.044,0.003
0.407,0.042,0.194,0.357
0.768,0.038,0.140,0.053
0.968,0.011,0.020,0.002
0.135,0.022,0.137,0.706
0.587,0.324,0.072,0.017
0.914,0.014,0.068,0.004
0.986,0.003,0.010,0.001
0.991,0.001,0.006,0.002
0.708,0.030,0.192,0.069
0.827,0.009,0.149,0.015
0.666,0.276,0.057,0.002
0.817,0.075,0.092,0.017
0.541,0.116,0.296,0.047
0.990,0.002,0.008,0.000
0.796,0.015,0.138,0.050
0.217,0.011,0.238,0.534
0.090,0.875,0.027,0.007
0.969,0.020,0.010,0.000
0.935,0.007,0.026,0.032
0.984,0.004,0.011,0.001
0.872,0.084,0.019,0.025
0.996,0.001,0.003,0.001
0.991,0.004,0.005,0.000
0.993,0.003,0.004,0.000
0.998,0.001,0.002,0.000
0.993,0.005,0.002,0.000
0.989,0.000,0.010,0.001
0.904,0.012,0.062,0.022
0.422,0.042,0.274,0.262
0.055,0.018,0.247,0.680
0.640,0.160,0.186,0.014
0.953,0.007,0.036,0.005
0.999,0.000,0.001,0.000
0.999,0.000,0.001,0.000
0.999,0.000,0.001,0.000
0.866,0.001,0.040,0.093
0.924,0.056,0.020,0.001
0.993,0.002,0.005,0.000
0.972,0.005,0.023,0.000
0.992,0.002,0.006,0.001
0.711,0.135,0.115,0.039
