0.000,0.000,0.003,0.000,0.000,0.000,0.300,0.000,0.013,0.000,0.000,0.000,1.493,0.000,0.000
0.015,0.004,0.000,0.052,0.000,0.000,0.021,0.001,0.032,0.016,0.000,0.841,0.053,0.037,0.043
0.025,0.090,0.017,0.039,0.000,0.000,0.562,0.000,0.091,0.062,0.038,0.094,0.122,0.004,0.000
0.000,0.111,0.033,0.021,0.497,0.000,0.191,0.002,0.195,0.011,0.000,0.033,0.043,0.000,0.605
0.009,0.064,0.017,0.070,0.018,0.000,0.588,0.006,0.060,0.080,0.012,0.031,0.129,0.000,0.003
0.018,0.007,0.000,0.025,0.000,0.003,0.000,0.004,0.001,0.000,0.000,1.104,0.000,0.000,0.018
0.012,0.000,0.000,0.027,0.000,0.000,0.012,0.000,0.020,0.000,0.000,1.065,0.001,0.024,0.017
0.020,0.099,0.005,0.367,0.000,0.000,0.118,0.000,0.129,0.048,0.016,0.010,0.387,0.004,0.000
0.016,0.000,0.000,0.000,0.000,0.000,0.087,0.000,0.106,0.039,0.000,0.886,0.000,0.029,0.000
0.005,0.000,0.000,0.041,0.000,0.000,0.250,0.000,0.043,0.000,0.056,0.774,0.004,0.062,0.019
0.000,0.068,0.000,0.058,0.000,0.000,0.044,0.018,0.042,0.057,0.711,0.055,0.062,0.023,0.022
0.008,0.016,0.000,0.022,0.000,0.000,0.045,0.000,0.044,0.015,0.000,0.084,0.015,0.018,1.024
0.023,0.014,0.005,0.000,0.005,0.000,0.230,0.000,0.041,0.060,0.024,0.022,0.718,0.012,0.000
0.015,0.007,0.000,0.080,0.004,0.003,0.698,0.005,0.121,0.049,0.000,0.000,0.076,0.006,0.020
0.000,0.250,0.009,0.000,0.521,0.000,0.152,0.000,0.145,0.031,0.000,0.000,0.026,0.000,0.683
0.012,0.057,0.012,0.043,0.014,0.000,0.256,0.025,0.026,0.076,0.463,0.069,0.123,0.019,0.035
0.020,0.614,0.000,0.021,0.000,0.000,0.026,0.001,0.015,0.629,0.000,0.000,0.000,0.000,0.000
0.027,0.002,0.007,0.079,0.000,0.000,0.563,0.003,0.131,0.020,0.003,0.064,0.152,0.013,0.025
0.023,0.000,0.008,0.010,0.004,0.001,0.744,0.001,0.118,0.078,0.020,0.008,0.166,0.000,0.007
0.006,0.049,0.003,0.810,0.017,0.000,0.131,0.005,0.058,0.009,0.038,0.000,0.098,0.002,0.018
0.008,0.054,0.013,0.063,0.009,0.000,0.000,0.010,0.049,0.041,0.000,0.000,0.909,0.000,0.874
0.002,0.945,0.003,0.044,0.009,0.000,0.021,0.000,0.021,0.034,0.011,0.034,0.021,0.000,0.019
0.009,0.167,0.002,0.625,0.014,0.000,0.000,0.000,0.256,0.033,0.009,0.073,0.188,0.010,0.025
0.012,0.063,0.336,0.443,0.075,0.000,0.126,0.000,0.016,0.071,0.019,0.043,0.081,0.006,0.048
0.021,0.000,0.074,0.082,0.000,0.000,0.328,0.008,0.319,0.107,0.000,0.119,0.077,0.065,0.009
0.015,0.213,0.002,0.316,0.000,0.010,0.228,0.011,0.068,0.057,0.041,0.170,0.065,0.019,0.004
0.015,0.000,0.000,0.025,0.000,0.000,0.084,0.000,0.000,0.020,0.008,0.098,0.773,0.006,0.000
0.000,0.000,0.012,0.014,0.012,0.001,0.311,0.004,0.126,0.033,0.000,0.020,0.592,0.000,0.019
0.020,0.047,0.611,0.053,0.004,0.000,0.000,0.000,0.015,0.890,0.000,0.039,0.076,0.001,0.042
