0.001,0.119,0.167,0.679,0.034
0.003,0.056,0.801,0.011,0.130
0.001,0.147,0.498,0.043,0.310
0.000,0.007,0.991,0.001,0.000
0.000,0.718,0.127,0.065,0.090
0.002,0.020,0.672,0.004,0.302
0.005,0.109,0.490,0.027,0.369
0.002,0.144,0.141,0.424,0.289
0.000,0.001,0.997,0.001,0.001
0.005,0.116,0.686,0.091,0.102
0.001,0.028,0.920,0.010,0.041
0.007,0.172,0.682,0.028,0.111
0.000,0.105,0.259,0.454,0.182
0.001,0.265,0.038,0.692,0.004
0.000,0.010,0.989,0.001,0.000
0.005,0.166,0.092,0.087,0.651
0.000,0.828,0.164,0.006,0.002
0.000,0.001,0.000,0.998,0.001
0.000,0.000,0.000,0.983,0.016
0.005,0.372,0.406,0.144,0.073
0.004,0.036,0.236,0.646,0.079
0.001,0.895,0.077,0.017,0.010
0.007,0.208,0.269,0.213,0.303
0.001,0.731,0.092,0.033,0.143
0.000,0.002,0.994,0.000,0.004
0.003,0.279,0.481,0.133,0.103
0.003,0.219,0.091,0.531,0.154
0.000,0.004,0.004,0.953,0.038
0.002,0.404,0.348,0.170,0.076
0.001,0.009,0.007,0.970,0.014
0.001,0.023,0.877,0.088,0.012
0.000,0.989,0.003,0.001,0.006
0.001,0.429,0.151,0.341,0.078
0.000,0.106,0.284,0.596,0.013
0.000,0.276,0.122,0.599,0.002
0.004,0.089,0.342,0.345,0.220
0.002,0.153,0.056,0.747,0.042
0.001,0.124,0.725,0.046,0.105
0.001,0.028,0.041,0.035,0.895
0.001,0.859,0.029,0.040,0.071
0.000,0.417,0.134,0.422,0.027
0.002,0.472,0.186,0.061,0.279
0.004,0.198,0.352,0.033,0.414
0.001,0.802,0.074,0.036,0.087
0.000,0.199,0.738,0.050,0.013
0.003,0.877,0.084,0.017,0.019
0.002,0.601,0.061,0.031,0.305
0.001,0.971,0.018,0.006,0.004
0.000,0.008,0.002,0.977,0.014
0.000,0.996,0.002,0.000,0.002
0.000,0.005,0.973,0.000,0.021
0.002,0.339,0.609,0.033,0.018
0.002,0.477,0.357,0.101,0.062
0.001,0.042,0.825,0.001,0.131
0.000,0.981,0.002,0.001,0.016
0.003,0.053,0.332,0.274,0.338
0.009,0.072,0.035,0.484,0.401
0.000,0.897,0.000,0.081,0.022
0.002,0.341,0.502,0.062,0.093
0.004,0.657,0.031,0.004,0.303
0.000,0.007,0.991,0.001,0.000
0.006,0.348,0.249,0.192,0.205
0.000,0.000,0.000,0.998,0.001
0.002,0.579,0.145,0.262,0.012
0.000,0.002,0.003,0.986,0.008
0.000,0.971,0.005,0.005,0.018
0.003,0.132,0.513,0.329,0.022
0.007,0.253,0.109,0.197,0.434
0.000,0.003,0.997,0.000,0.000
0.003,0.851,0.039,0.014,0.093
0.000,0.000,1.000,0.000,0.000
0.006,0.730,0.110,0.113,0.040
0.003,0.889,0.019,0.007,0.082
0.004,0.225,0.057,0.610,0.104
0.000,0.036,0.958,0.004,0.001
0.001,0.284,0.076,0.540,0.099
0.003,0.120,0.439,0.026,0.411
0.001,0.054,0.509,0.152,0.283
0.001,0.531,0.124,0.135,0.208
0.000,0.042,0.232,0.009,0.717
0.001,0.776,0.183,0.009,0.032
0.000,0.865,0.068,0.060,0.007
0.001,0.448,0.237,0.088,0.225
0.000,0.004,0.008,0.987,0.001
0.003,0.107,0.572,0.026,0.293
0.008,0.170,0.362,0.095,0.364
0.002,0.524,0.084,0.251,0.139
0.001,0.047,0.447,0.004,0.500
0.007,0.099,0.390,0.052,0.451
0.000,0.081,0.633,0.075,0.210
0.004,0.540,0.143,0.254,0.059
0.002,0.027,0.905,0.001,0.065
0.001,0.032,0.221,0.689,0.057
0.004,0.136,0.683,0.011,0.165
0.002,0.019,0.291,0.592,0.096
0.000,0.944,0.030,0.018,0.008
0.001,0.029,0.059,0.011,0.900
0.001,0.089,0.847,0.016,0.047
0.002,0.865,0.056,0.038,0.039
0.000,0.001,0.000,0.997,0.001
0.000,0.850,0.014,0.131,0.004
0.004,0.042,0.700,0.009,0.243
0.001,0.206,0.169,0.064,0.560
0.001,0.061,0.885,0.016,0.038
0.002,0.181,0.590,0.120,0.107
0.002,0.028,0.893,0.015,0.062
0.002,0.806,0.151,0.021,0.020
0.009,0.193,0.330,0.032,0.435
0.000,0.029,0.018,0.129,0.824
0.002,0.469,0.187,0.206,0.135
0.000,0.025,0.039,0.930,0.005
0.000,0.676,0.114,0.153,0.056
0.001,0.024,0.007,0.960,0.008
0.001,0.177,0.713,0.084,0.026
0.000,0.090,0.871,0.028,0.010
0.000,0.000,0.999,0.000,0.000
0.000,0.711,0.156,0.103,0.029
0.000,0.004,0.996,0.000,0.000
0.001,0.227,0.510,0.258,0.005
0.001,0.910,0.016,0.066,0.007
0.000,0.372,0.020,0.386,0.222
0.000,0.077,0.242,0.033,0.648
0.001,0.008,0.450,0.002,0.539
0.000,0.126,0.167,0.151,0.555
0.001,0.944,0.026,0.013,0.016
